標籤 id,標籤名稱,標籤人數,"要被取代/合併的標籤（以半形逗號,分隔）",最後呈現的標籤
1,3888,"65,721",,
2,測試,"124,224",,
2,測試,1,,
3,111,"11,950",,
4,清明節,"65,643",,
5,兒童節,"55,055",,
6,母親節,"71,494",,
8,加工食品,"475,247",,
9,罐頭食品,"48,130",,
10,南北貨,"210,887",,
11,食用油,"73,561",,
12,麵製品,"97,072",,
14,加工飲品,"299,223",,
16,飲料類,"203,185",,
17,沖泡飲品,"215,508",沖泡飲品,沖泡類
22,休閒食品,"177,423",休閒食品,休閒食品類
23,糖果類,"60,396",,
24,餅乾類,"270,601",,
25,酥脆點心,"8,326",,
26,零食類,"196,477",,
27,日配,"294,105",,
28,冷藏乳製品,"52,391",,
31,冷凍食品,"292,372",,
32,蛋品,"64,701",,
33,個人用品,"592,217",,
34,個人清潔保養,"530,832",個人清潔保養,個人清潔保養類
35,棉製品,"276,307",,
36,紡織品,"35,371",,
37,嬰兒用品,"54,638",,
38,家庭用品,"484,601",,
39,寵物專區,"37,043",,
40,家用清潔劑類,"243,506",,
41,家用紙製品,"371,838",,
44,生鮮,"1,792,541",,
45,蔬菜類,"914,397",,
46,鮮魚類,"712,378",,
47,水果類,"900,605",,
48,精肉類,"897,784",,
50,烘焙輕食類,"121,620",,
51,PX Pay,"1,196,064",,
52,PX GO,"1,647,117",PX GO,PXGO
53,We Sweet,"239,167",,
56,OFF COFFEE,"287,348",,
57,Read Bread,"147,521",,
63,大安森林,"48,933",,
64,福利熊,"164,377",,
67,聯合利華-麗仕,"97,935",,
68,嬌聯-蘇菲,"508,968",,
69,聯米-皇家穀堡,"29,102",,
71,佳旺-農心,"1,193",,
72,台灣維達-包大人,"6,139",,
76,耆盛-台南關廟刀削麵,"24,559",,
91,花東製米-天生好米,"89,931",,
92,佳旺-嬌生,"26,999",,
93,聯運-Crystal Valley,"11,594",,
97,佳蘭-西雅圖,"1,003",,
101,普祺樂-台鹽生技,753,,
103,佳旺-露得清,"33,324",,
105,康那香-康乃馨,"28,136",,
106,德恩奈,"139,837",,
108,獅王-藍寶,411,,
110,聯華-viva萬歲牌,"2,851",聯華-viva萬歲牌,聯華-萬歲牌
111,永豐餘-五月花,"85,869",,
114,億滋-奧利奧,"27,635",,
116,大倉-台灣越光米,"139,837",,
122,品冠-449乾麵舖,"2,306",,
127,台糖-台糖,"34,891",,
128,大丹宜-皂福,"27,145",,
130,台灣優生-優生,"18,927",,
132,遠盛-口卡辣姆久,"3,220",,
133,聯合利華-白蘭,"132,807",,
134,太古-舒味思,"2,435",,
135,新竹物流-MCVITIE'S,"11,505",,
139,滿寧-百格仕,"21,923",,
146,毛寶-毛寶,"3,679",,
148,毛寶-全效,"4,281",,
149,宸宇,"6,657",,
150,卜立-御品能量,"12,447",,
152,美商伊潔維-舒適,381,,
155,家宏-古寶,"12,346",,
160,依聯-依必朗,"6,221",,
161,金蘭-金蘭,"20,163",,
170,呈康-錵鑶聖凱師,"8,892",,
174,中元節,"470,903",,
176,父親節,"32,160",,
177,中秋節,"441,757",,
179,家家購物節,"82,606",,
180,雙十一購物節,"149,984",,
181,黑色星期五,"83,755",,
182,雙十二購物節,"65,032",,
183,冬至,"97,943",,
184,聖誕節,"1,789",,
186,犀利趴,274,,
189,福利熊繪畫比賽,"72,318",,
190,親農學堂,"16,271",,
191,緊急公告,"5,719",,
193,發熱衣,"12,982",,
194,抗菌防黴大作戰,"12,624",,
196,衛生紙小學堂,"32,393",,
198,棉棉博覽會,"142,626",,
199,涼感衣,"8,355",,
200,環保潔品大賞,"9,444",,
201,防蟲大作戰,"8,034",,
204,棉製品聯合促銷,"26,720",棉製品聯合促銷,棉製品
206,銀髮樂齡,"66,357",,
207,春遊野餐,"13,817",,
209,飲料節,"79,999",,
210,啤酒節,"43,493",,
213,醬料咖哩,"21,013",,
214,冰品嘉年華,"37,114",,
215,懷舊柑仔店,"125,834",,
216,咖啡大賞,"60,347",,
217,秋收好米,"33,073",,
218,世界巧克力,"42,564",,
219,微醺派對,"14,949",,
222,樂齡養生,"28,431",樂齡養生,銀髮樂齡
223,蔬果總動員,"40,647",,
224,咖哩季,"20,014",,
226,甜點節,"46,913",,
228,芒果季,"5,073",芒果季,芒果季
229,瓜瓜節,"1,257",,
230,美國週,"1,257",,
231,夏季沙拉,"43,537",,
232,下酒菜料理,"19,711",,
233,南瓜咖哩季,"3,134",,
234,土雞節,"21,863",,
235,鯖魚季,"72,202",,
236,鳳梨季,"3,012",,
237,跨年party,"3,012",,
238,青森蘋果,"2,372",,
239,禮盒,"16,202",,
240,團圓圍爐,"3,009",,
241,在家吃早餐,"5,963",,
242,情人節,31,,
243,健康美麗節,"63,631",,
244,健康百分爸,"22,599",,
245,中元祭,"470,902",中元祭,中元節
246,中秋烤肉節,"428,607",,
247,秋節禮盒,535,秋節禮盒,禮盒
248,萬聖果果節,"54,722",,
249,火鍋祭,"120,594",,
250,泡麵大賞,"7,769",,
251,年度百大商品,624,,
252,全店印花,"751,295",,
253,點換購,"331,401",,
254,預購,"505,851",,
258,超級品牌月,"953,537",,
259,春節,"10,820",,
260,元宵節,"4,086",,
263,乾貨食品,"1,995,477",,
264,乾貨用品,"1,927,551",,
265,生鮮食品,"1,789,928",生鮮食品,生鮮
267,福利熊、熊福利,"54,014",福利熊、熊福利,福利熊
268,初一十五,"2,979",,
269,台灣穀堡,"15,594",,
270,凡士林,"8,961",,
272,精魚類,"246,104",,
273,PXGO,"1,566,150",PX GO,PX GO
276,光泉,"29,024",,
284,咖啡,"1,279,401",,
285,營養保健食品,"118,938",營養保健食品,保健營養食品
304,寶僑-多芬,"41,453",,
305,享活-享活,"41,430",,
307,佳蘭-妮維雅,"2,868",,
308,聯華-聯華,"63,892",聯華-聯華,聯華
309,佳格-佳格,"85,638",,
310,金百利-金百利,"37,136",金百利-金百利,金百利
535,FOCO,"6,657",FOCO,宸宇-FOCO
536,Farcent,"32,428",Farcent,花仙子-Farcent
537,KEY,"42,632",KEY,佳蘭-Key Coffee
538,KEY COFFEE,"37,415",KEY COFFEE,佳蘭-Key Coffee
540,Neutromed,"6,635",Neutromed,欣臨-Neutromed
541,三好米,"15,425",三好米,億東-三好米
542,世新,"39,939",,
543,乳製品,3,乳製品,冷藏乳製品
544,休閒食品類,"123,083",,
545,佳旺,"7,151",,
546,佳蘭,"185,939",,
548,個人清潔保養類,"402,959",,
549,億東,187,,
550,元本山,"1,430",元本山,聯華-元本山
551,刷樂,"38,880",,
552,加工飲品類,"142,898",加工飲品類,加工飲品
553,可樂果,1,可樂果,聯華-可樂果
554,台鹽,765,台鹽,世新-台鹽
555,多芬,"10,499",,
556,大丹宜,"8,520",,
557,好來,"193,476",,
559,嬌聯,"505,339",,
560,宗家府,"5,230",宗家府,揚振-宗家府
561,家庭清潔劑類,"204,486",,
562,家樂氏,"7,964",家樂氏,聯華-家樂氏
563,富源成,"8,520",,
564,寶僑,"130,834",,
565,小磨坊,"69,633",,
567,悅氏,"24,097",悅氏,玉丞-悅氏
568,愛之味,"11,964",,
569,成偉,"17,897",,
570,揚振,"19,164",,
571,李施德霖,"7,277",李施德霖,佳旺-李施德霖
573,桂冠,"171,350",,
574,橘子工坊,"14,598",橘子工坊,永豐餘-橘子工坊
575,欣臨,"6,635",,
576,歐樂B,"25,444",,
577,永豐餘,"52,396",,
578,洗顏專科,"42,284",洗顏專科,佳蘭-洗顏專科
579,潘婷,"11,085",潘婷,寶僑-潘婷
580,熊寶貝,"21,061",熊寶貝,聯合利華-熊寶貝
581,玉丞,"11,164",,
582,珂珂透,"1,782",珂珂透,花王-珂珂透
584,白蘭氏,"1,011,126",,
585,皂福類,"35,319",皂福類,大丹宜-皂福
586,盛香珍,"167,856",盛香珍,成偉-盛香珍
587,綿製品,"6,657",綿製品,棉製品
588,聯華,"30,350",,
589,聯運,"11,347",,
590,舒潔,"130,398",舒潔,金百利-舒潔
591,花仙子,"34,559",,
592,菲力家族,"26,003",菲力家族,刷樂-菲力家族
593,野菜生活100,"26,531",野菜生活100,光泉-野菜生活100
594,金百利,"46,883",,
595,金車,"13,879",,
596,雀巢,"779,634",,
597,靠得住,"64,679",靠得住,金百利-靠得住
598,風倍清,"21,589",風倍清,寶僑-風倍清
599,餅感類,1,,
600,高露潔,"4,037",高露潔,好來-高露潔
601,麗仕,"27,401",麗仕,聯合利華-麗仕
602,黑人,"113,619",,
605,全聯生活誌,"18,952",,
605,全聯生活誌,1,,
612,adGeek - 工程師,6,,
612,adGeek - 工程師,6,,
613,adGeek0629,7,,
765,乾貨,"2,020,189",,
766,花王-蕾妮雅,"39,766",,
767,成偉遠盛,"6,681",,
768,光泉-光泉,"17,993",光泉-光泉,光泉
769,喝好水,"11,212",,
770,喝好水-樂事,"25,184",,
771,億滋,7,,
772,聯合利華,"973,506",,
773,花王,"670,172",,
774,花王-ATTACK,"6,869",,
776,台灣穀堡-台灣穀堡,"4,898",台灣穀堡-台灣穀堡,台灣穀堡
778,保健營養食品,"140,364",,
779,威猛先生,27,,
780,餅乾,"130,758",餅乾,餅乾類
781,買一送一,"1,739,036",,
782,金百利-靠得住,"130,068",,
783,潔牙口腔,"129,184",,
784,一分鐘料理王,"601,661",,
785,玉丞-悅氏,"20,276",,
786,金百利-好奇,"65,054",金百利-好奇,金百利-好奇寶寶
787,福利熊繪畫大賽,"53,082",福利熊繪畫大賽,福利熊繪畫比賽
788,波蜜-靠茶,"36,346",,
789,佳旺-李施德霖,"5,127",,
790,調理熟食類,"98,127",,
791,味全-味全,"17,339",味全-味全,味全
792,雀巢-雀巢,"787,518",雀巢-雀巢,雀巢
793,寶僑-寶僑,"137,879",寶僑-寶僑,寶僑
794,品冠-味丹,"22,885",,
795,源興-舒跑,"7,141",,
796,耐斯-耐斯,"96,311",,
797,調味品,"166,612",,
798,ReadBread,"141,976",ReadBread,Read Bread
799,爸爸回家做晚飯,"1,074,114",,
800,佩樺基金會,"126,756",,
801,慶祥基金會,"70,616",,
802,愛心零錢捐,"108,131",愛心零錢捐,零錢捐
803,聯華-卡迪那,"8,623",,
804,聯合利華-Timotei,12,,
805,二廚帶你去旅行,"44,146",,
807,雀巢-美祿,"16,805",,
808,聯合利華-淨,1,,
809,欣品-自然主意,"1,511",,
810,花仙子-茶樹莊園,"127,927",,
811,超市健身,"3,215",,
812,經濟美學,"1,127,385",,
813,聯合利華-多芬,"140,234",,
814,MIFFY居家生活樂,"17,899",,
815,聯華-可樂果,"5,314",,
816,保健飲品類,"54,404",,
817,佳蘭-KEY,"25,673",佳蘭-KEY,佳蘭-Key Coffee
818,佳蘭-洗顏專科,"86,799",,
819,防疫,"159,820",,
820,寶僑-潘婷,"13,101",,
821,用品,"325,818",,
822,寶僑-歐樂B,"39,102",,
823,公益,"106,792",,
824,聯合利華-熊寶貝,"81,966",,
825,冷藏飲品,"14,000",,
826,光泉-野菜生活100,"11,750",,
827,冷藏食品,"9,494",,
828,揚振-宗家府,"3,622",,
829,白蘭氏-白蘭氏,"1,011,079",白蘭氏-白蘭氏,白蘭氏
830,億東-三好米,"23,005",,
831,好來-高露潔,"193,400",,
832,花王-珂珂透,"2,337",,
833,金車-柏克金,"14,056",,
834,菸酒,"55,149",,
835,酒類,"114,830",,
836,聯華-家樂氏,"5,315",,
837,富源成-富源成,"5,757",富源成-富源成,富源成
838,大丹宜-皂福類,"32,633",大丹宜-皂福類,大丹宜-皂福
839,好來-黑人,"154,130",,
840,成偉-盛香珍,"187,790",,
841,聯運-金車,"8,313",,
842,日配乳製品,2,,
843,水餃節,"17,836",,
844,傳藝,"130,534",,
845,佳蘭-Key Coffee,"35,132",,
846,花仙子-Farcent,"30,082",,
847,聯合利華-聯合利華,"1,019,380",聯合利華-聯合利華,聯合利華
848,年中慶,"26,744",,
849,超級週年慶,"123,884",,
850,待提供,"19,750",,
851,金百利-舒潔,"259,235",,
852,寶僑-風倍清,"26,878",,
853,永豐餘-橘子工坊,"28,661",,
854,聯華-元本山,"1,399",,
855,嬌聯-嬌聯,"511,313",嬌聯-嬌聯,嬌聯
856,喝好水-喝好水,"27,688",喝好水-喝好水,喝好水
857,端午節,"92,731",,
858,歡慶端午,"86,430",歡慶端午,端午節
859,愛之味-愛之味,"11,376",愛之味-愛之味,愛之味
860,欣臨-Neutromed,"8,453",,
861,桂冠-桂冠,"183,260",桂冠-桂冠,桂冠
862,宸宇-FOCO,"5,277",,
863,刷樂-菲力家族,"24,670",,
864,調味品-小磨坊-小磨坊,"69,518",調味品-小磨坊-小磨坊,小磨坊
865,寶僑-好自在,"33,585",,
866,世新-台鹽,"129,418",,
867,聯運-伯朗咖啡,"5,714",聯運-伯朗咖啡,聯運-伯朗
868,Mod's Hair-Mod's Hair,"1,549",,
869,寶僑-Crest,"2,361",,
870,涼夏沐浴,"15,365",,
871,生活良好,"85,848",,
872,全聯廚神爭霸戰,"41,915",,
873,品牌活動,"1,729,611",,
874,台灣通用-哈根達斯,"96,613",,
876,美味堂,"310,913",,
877,奶粉類,"9,125",,
878,雀巢-克寧,"8,670",,
879,金車-金車,"46,363",金車-金車,金車
880,金車-伯朗,"40,986",,
881,青農學堂,"1,941",青農學堂,親農學堂
882,芝華-湛盧,"10,519",,
883,振興券,"335,681",,
884,聯合利華-茗閒情,"732,259",,
885,寶僑-吉列,"2,620",,
886,積分活動,"409,323",,
887,坤甚-葡萄王,"10,755",,
888,樂天-樂天,"26,414",,
889,永豐餘-永豐餘,"58,903",永豐餘-永豐餘,永豐餘
890,泰山-泰山,"73,068",,
891,成偉-華元,"39,164",,
892,阪急麵包,"192,134",,
893,臺東熱氣球嘉年華,"8,211",,
893,臺東熱氣球嘉年華,0,,
894,味王-大食客湯麵,"5,910",,
895,妙管家-妙管家,"29,984",,
895,妙管家-妙管家,0,,
896,花王-New Beads,376,,
897,欣臨- Syoss,"6,382",欣臨- Syoss,欣臨-Syoss
898,聯合利華-淨CLEAR,"117,038",,
898,聯合利華-淨CLEAR,0,,
899,味丹-心茶道,"6,180",,
899,味丹-心茶道,1,,
900,金百利-好奇寶寶,"30,682",,
900,金百利-好奇寶寶,1,,
901,傳藝中心,"128,208",傳藝中心,傳藝
901,傳藝中心,1,,
902,萬陽-一百份,"5,219",,
903,adGeek - Key Mans,4,,
903,adGeek - Key Mans,0,,
905,PM,2,,
906,首波制式綁定,"790,246",,
906,首波制式綁定,3,,
907,旺家-浪味仙,"13,811",,
908,金百利-可立雅,"7,830",,
909,台灣通用磨坊-Nature Valley,0,,
909,台灣通用磨坊,"2,583",,
910,億滋-億滋,"8,253",億滋-億滋,億滋
911,台灣通用-灣仔碼頭,"45,280",,
912,欣臨-施華蔻,"24,523",,
913,巴黎萊雅-LOREAL,"9,017",,
913,巴黎萊雅-LOREAL,1,,
914,aaa,37,,
915,FB_中元活動,"6,699",FB_中元活動,中元節
916,天廚-好侍,"20,052",,
917,佳格-恆天然,"16,257",,
918,口腔研究所,"36,708",口腔研究所,潔牙口腔
919,欣臨-FA,"18,556",,
920,聯運-伯朗,"10,046",,
922,基金會,"179,779",,
923,沖泡類,"144,672",,
924,雀巢-星巴克,"1,168,571",,
925,億滋-Toblerone,"35,891",,
926,佳蘭-HALLS,"8,650",,
927,欣臨-Syoss,"1,240",欣臨-Syoss,欣臨-Syoss
928,留蘭香-留蘭香,"1,057",,
929,生鮮用品,"8,805",生鮮用品,生鮮
930,花王-花王,"678,941",花王-花王,花王
931,宏亞-宏亞,"2,729",,
932,花王-逸萱秀,"6,176",,
933,寶僑-幫寶適,"1,259",,
934,品冠-真麵堂,"40,819",,
935,ARCOS,"3,163",,
939,台北市,"11,360",,
940,新北市,"1,421",,
941,桃園市,"1,502",,
942,台中市,"2,251",,
943,彰化縣,839,,
944,嘉義縣,908,,
945,高雄市,"1,790",,
946,贊助活動,"3,016",,
947,聯合利華-康寶,"209,759",,
948,新竹物流-台鹽,2,,
949,家用清潔劑,"157,735",家用清潔劑,家用清潔劑類
950,聯合利華-立頓,"32,101",,
951,遠盛-波的多,"14,828",,
952,遠盛-玉黍叔,"14,828",,
953,宏亞-77乳加,"6,285",,
954,欣臨-indomie,"1,367",,
955,益科-益科,"16,484",,
956,台灣優生-台灣優生-台灣優生,"10,391",台灣優生-台灣優生-台灣優生,台灣優生-優生
957,佳蘭-可口,"6,694",,
958,雙十國慶,"42,259",,
959,花仙子-潔霜S,"31,568",,
960,零錢捐,"108,105",,
961,台灣伊莎貝-巴黎貝爾,"30,612",,
962,永豐餘 -五月花,"64,087",永豐餘 -五月花,永豐餘-五月花
963,台灣維達-添寧,"5,244",,
964,成偉-成偉,"35,618",成偉-成偉,成偉
965,佳蘭-佳蘭,"147,143",佳蘭-佳蘭,佳蘭
966,產銷履歷,"45,131",,
968,小磨坊-小磨坊,"92,119",小磨坊-小磨坊,小磨坊
969,宸宇-九福,"26,605",,
970,全聯LINE管理員,2,,
971,益品-Kenji健司健康時刻,448,,
972,香港好媳婦 -森田藥粧,"12,745",,
973,旺家-雪町,"22,542",,
974,好來 -黑人,"167,304",好來 -黑人,好來-黑人
975,個人清潔用品,"331,844",,
976,龍輝-Paldo,657,,
977,金百利 -好奇,"30,934",金百利 -好奇,金百利-好奇寶寶
978,寶僑-Ariel,"75,911",,
979,會員活動,"95,512",,
980,欣臨-沙威隆,193,,
981,小時達,"636,847",,
982,乾活食品,"3,289",乾活食品,乾貨食品
983,佳蘭-王牌義多利,"41,829",,
984,嬌生-嬌生,"24,921",嬌生-嬌生,佳旺-嬌生
985,益品-妙管家,"24,951",,
986,慕渴-鮮乳坊,"3,276",,
987,味全-林鳳營,"11,752",,
988,佳蘭-Dalli,"19,504",,
989,聯華-萬歲牌,"24,372",,
990,日為-Oat Krunch,"11,067",,
991,永豐餘-得意,"15,504",,
992,華盛-星球工坊,"13,067",,
993,全聯火鍋祭,"112,309",全聯火鍋祭,火鍋祭
996,花仙子-潔霜,"8,631",,
997,寶僑-蘭諾,"13,568",,
998,敬洋-森之果物,2,,
999,德恩奈-德恩奈,"144,084",德恩奈-德恩奈,德恩奈
1000,源興-KO咖啡王,89,,
1003,Cyntelli IT,9,,
1004,美吾髮-雅克靈,117,,
1010,太古-GRORGIA,"2,458",,
1014,草莓季,704,,
1015,直播,"829,323",,
1016,金車-穀沛,"32,978",,
1017,婦女節,"12,223",,
1018,咖碼-Cama Cafe,"64,303",,
1019,佳格-得意的一天,"70,999",,
1020,日本商品展,"21,349",,
1021,輝瑞-挺立,"3,648",,
1022,週末買菜日,"595,170",,
1023,台灣維達-Tempo,"23,848",,
1024,台灣通用-綠巨人,"4,937",,
1026,綁定-送點數,"700,151",,
1026,綁定-送點數,2,,
1027,事事如意節,"59,692",,
1028,葡萄酒大賞,"3,740",,
1029,承沛興業-老媽拌麵,"5,080",,
1030,台灣北斗-好菇道,"23,131",,
1035,小編同樂會,"7,360",,
1036,GSK-善存,"10,073",,
1040,PX測試管理員,2,,
1041,會統-red bull,873,,
1042,週三買菜日,"337,330",,
1043,料理之王,"1,072,767",,
1044,早安健康,"1,040,049",,
1047,防疫相關,"55,860",防疫相關,防疫
1048,有機蔬菜,"87,184",,
1068,美吾髮,"38,207",,
1069,花王-一匙靈,"15,857",,
1070,新竹物流-保麗淨,"22,486",,
1071,商品查詢,"8,080",,
1072,Uber eat,"26,701",,
1073,佳蘭-ecostore,"2,386",,
1074,料理食譜,"1,448,921",,
1075,PXGO-618,"37,033",,
1078,PXGO-週一有Go殺,"792,287",,
1079,考季,"15,097",,
1080,中化-大王,"4,711",,
1081,悠遊卡,"750,890",,
1082,喜年來,"12,460",,
1083,PXPAY測試,1,,
1084,佳蘭-曼秀雷敦,"75,569",,
1085,全聯愛心捐,"46,209",,
1086,TODAY專區,"967,495",,
1087,PXGO-週末殺很大,"204,600",,
1088,咖啡麵包日,"91,680",,
1089,PXGO-99購物節,"129,077",,
1090,颱風,"386,575",,
1091,太古-可口可樂,"4,129",,
1092,佳格-福樂,"3,394",,
1094,0927-TODAY,"1,694,137",,
1096,1001-1,"1,332,288",,
1097,1001-2,"1,343,712",,
1098,10月MENU綁定,"134,499",,
1099,1002,"1,335,890",,
1100,1003,"1,382,856",,
1101,1004,"1,451,285",,
1102,1005,"1,332,106",,
1103,1006,"1,263,499",,
1104,1007,"1,482,023",,
1105,1008-1,"1,290,199",,
1106,1008-2,"1,370,734",,
1107,1008-3,"927,215",,
1108,1009-1,"1,239,404",,
1109,1009-2,"1,251,737",,
1110,1009-3,"1,296,590",,
1111,1010,"1,537,239",,
1112,1011,"1,473,995",,
1113,1012-1,"1,273,844",,
1114,1012-2,"1,712,305",,
1115,1013,"1,269,060",,
1116,1014,"1,336,679",,
1117,流感疫苗,"6,685",,
1118,1015-1,"1,454,817",,
1119,1015-2,"1,327,535",,
1120,1016-1,"1,591,154",,
1121,1016-2,"1,454,242",,
1122,1017,"1,483,757",,
1123,1018,"1,286,585",,
1124,1019-1,"1,456,736",,
1125,1019-2,"111,533",,
1126,1020,"1,305,067",,
1127,1021,"1,501,961",,
1128,1022,"1,466,631",,
1129,1023,"1,661,458",,
1130,1024,"1,486,197",,
1131,1025,"1,397,755",,
1132,1026,"880,577",,
1133,1027,"1,258,122",,
1134,1028,"1,341,548",,
1135,1029-1,"1,304,632",,
1136,1029-2,"1,429,669",,
1137,1030,"1,658,997",,
1138,1031,"1,310,597",,
1139,1101,"1,374,572",,
1140,11月MENU綁定,"172,581",,
1141,1102,"1,468,743",,
1142,1103,"1,355,945",,
1143,1104,"1,439,239",,
1144,1105,"1,457,213",,
1145,1106,"1,636,949",,
1146,1107,"1,351,692",,
1147,1108,"1,377,753",,
1148,1109,"1,267,488",,
1149,1110,"946,062",,
1150,1111,"814,885",,
1151,1112-1,"584,694",,
1152,1112-2,"753,865",,
1153,1113,"1,638,653",,
1154,1114,"1,495,251",,
1155,1115,"1,318,157",,
1156,1116,"1,532,109",,
1156,1116,1,,
1157,1117,"1,467,336",,
1157,1117,1,,
1158,1118,"1,428,733",,
1158,1118,1,,
1159,1119-1,"1,419,290",,
1160,1119-2,"1,396,474",,
1161,1120,"1,577,408",,
1162,1121-1,"1,436,402",,
1163,1121-2,"931,121",,
1164,1122,"1,492,122",,
1165,1123,"1,431,401",,
1166,1125,"1,381,170",,
1167,1126-1,"1,325,267",,
1168,1127,"1,507,481",,
1169,1126-2,"1,313,753",,
1169,1126-2,1,,
1170,1128,"1,497,066",,
1170,1128,1,,
1171,1129,"1,434,035",,
1171,1129,1,,
1172,1130,"1,664,715",,
1173,1201,"1,519,226",,
1174,1202,"1,330,265",,
1175,1203-1,"1,498,765",,
1176,1203-2,"1,609,909",,
1177,獨家新品,"2,189",,
1178,急凍鮮物,"2,607",,
1179,1204-1,"1,536,585",,
1180,1204-2,"924,681",,
1181,1205,"1,571,609",,
1182,1206-1,"1,605,176",,
1183,1206-2,"887,122",,
1185,1207,"1,571,761",,
1186,1208,"1,447,008",,
1187,1209-1,"1,512,097",,
1188,1209-2,"1,553,112",,
1189,1210-1,"1,577,348",,
1190,1210-2,"1,609,419",,
1192,1211-1,"1,372,278",,
1193,1211-2,"904,627",,
1194,1212,"1,654,450",,
1195,1213-1,"1,446,407",,
1196,1213-2,"1,643,483",,
1197,1214,"1,382,186",,
1198,1215,"1,529,093",,
1199,1216-1,"1,525,971",,
1200,1216-2,"1,620,650",,
1201,1217-1,"1,576,164",,
1202,1217-2,"842,546",,
1203,1218,"1,593,332",,
1204,1219,"1,631,768",,
1205,1220-1,"1,499,215",,
1206,1220-2,"1,614,840",,
1207,1221,"832,815",,
1208,多喝水,"3,439",,
1209,1222,"839,319",,